company,jobtitle,applicationdate,status,location,anstellungsart
FINOVESTA GmbH,Softwareentwickler ,2026-02-25,Rejected,"Düsseldorf, Germany",Festanstellung
urlaubsexperte,Webentwickler ,2026-03-24,Applied,"Düsseldorf, Germany",Festanstellung
designverign,Webentwickler ,2026-03-24,Applied,"Düsseldorf, Germany",Festanstellung
OINK Recruting GmbH,Cloud Administrator,2026-03-24,Rejected,"Cologne, Germany",Festanstellung
Dotzilla GmbH & Co. KG,Backend-Entwickler,2026-03-24,Applied,"Oberhausen, Germany",Festanstellung
Hottgenroth Gruppe,Softwareentwickler,2026-03-24,Applied,"Cologne, Germany",Festanstellung
CompuSafe Data Systems AG,Python Softwareentwickler,2026-03-24,Applied,"Munich, Germany",Festanstellung
WetterOnline GmbH,Software entwickler,2026-03-24,Rejected,"Bonn, Germany",Festanstellung
 DocCheck ,Junior AI Automation Engineer,2026-03-24,Interviewing,"Cologne, Germany",Festanstellung
ITK Rheinland ,IT-Anwendungsbetreuer,2026-03-25,Rejected,"Neuss, Germany",Festanstellung
AOE Solutions GmbH,AI Engineer,2026-03-25,Rejected,"Wiesbaden, Germany",Festanstellung
pwc,AI Software Engineer,2026-03-25,Rejected,"Frankfurt, Germany",Festanstellung
ATLM GmbH,Softwareentwickler ,2026-03-25,Rejected,"Stuttgart, Germany",Festanstellung
jovoco GmbH,Softwareentwickler ,2026-03-25,Rejected,"Deißlingen, Germany",Festanstellung
ARAG IT GmbH,Junior Conversational AI Developer,2026-03-27,Rejected,"Düsseldorf, Germany",Festanstellung
adesso SE,Software Engineer Conversational AI,2026-03-27,Rejected,"Düsseldorf, Germany",Festanstellung
msg gmbh,Software Engineer AI-Agents,2026-03-27,Rejected,"Ismaning, Germany",Festanstellung
AlphaConsult-Gruppe,Fullstack Entwickler (React/Python),2026-03-28,Applied,"Nuremberg, Germany",Festanstellung
SPIE GSA Business Services GmbH,Softwareentwickler:in Java,2026-03-28,Applied,"Düsseldorf, Germany",Festanstellung
Capgemini,Software Engineer,2026-03-30,Rejected,"Berlin, Germany",Festanstellung
eEvolution,Softwareentwickler ,2026-04-02,Applied,"Hildesheim, Germany",Festanstellung
ESPERA-WERKE GMBH,Softwareentwickler ,2026-04-09,Rejected,"Duisburg, Germany",Festanstellung
Avetix,Senior & Junior Software Engineers - AI,2026-04-13,Applied,"Leeds, England",Festanstellung
MVZ Düsseldorf-Centrum GbR,Fullstack-Entwickler,2026-04-13,Applied,"Düsseldorf, Germany",Festanstellung
zollSoft,Softwareentwickler ,2026-04-13,Applied,"Jena, Germany",Festanstellung
GUDE Systems GmbH,Softwareentwickler ,2026-04-13,Applied,"Cologne, Germany",Festanstellung
humbee solutions GmbH,Softwareentwickler C#,2026-04-13,Applied,"Meerbusch, Germany",Festanstellung
CENIT AG,Softwareentwickler ECM,2026-04-13,Rejected,"Stuttgart, Germany",Festanstellung
ANG GmbH,Softwareentwickler GO,2026-04-13,Rejected,"Nuremberg, Germany",Festanstellung
AVEX Automotive,AI & Automation Engineer,2026-04-15,Applied,"Hamburg, Germany",Festanstellung
Taod Consulting GmbH,Junior AI Engineer,2026-04-15,Rejected,"Cologne, Germany",Festanstellung
FUNKE,Junior Automation & KI-Entwickler,2026-04-15,Rejected,"Essen, Germany",Festanstellung
neuland.ai,AI Developer (Agents & Automation),2026-04-16,Applied,"Cologne, Germany",Festanstellung
THRYVE ,junior Softwareentwickler ,2026-04-16,Rejected,"Berlin, Germany",Festanstellung
zoxs,junior Softwareentwickler ,2026-04-21,Applied,"Wesel, Germany",Festanstellung
deloitte,cloud engineer,2026-04-21,Applied,"Düsseldorf, Germany",Festanstellung
dainox,junior Softwareentwickler ,2026-04-21,Rejected,"Rammingen, Germany",Festanstellung
A-Team Eve,Front-End-Entwickler:in,2026-04-21,Applied,"Düsseldorf, Germany",Festanstellung
EICKHOFF Personal GmbH,junior Softwareentwickler ,2026-04-24,Applied,"Düsseldorf, Germany",Festanstellung
ViSenSys GmbH,junior Softwareentwickler ,2026-04-24,Applied,"Dortmund, Germany",Festanstellung
Sparkasse,KI Entwickler,2026-04-24,Rejected,"Berlin, Germany",Festanstellung
Rabb IT Solutions GmbH,AI Solutions Engineer,2026-04-24,Applied,"Katzenelnbogen, Germany",Festanstellung
Flender,Mobile App Developer,2026-04-26,Rejected,"Bocholt, Germany",Festanstellung
muli cycles,Softwareentwickler ,2026-05-03,Rejected,"Cologne, Germany",Festanstellung
CHECK24,Softwareentwickler ,2026-05-03,Rejected,"Munich, Germany",Festanstellung
sopra steria,AI Backend Developer,2026-05-05,Rejected,"Düsseldorf, Germany",Festanstellung
SBRS GmbH,Junior Softwareentwickler,2026-05-05,Rejected,"Dinslaken, Germany",Festanstellung
FERCHAU Engineering GmbH,Junior Softwareentwickler,2026-05-05,Rejected,"Gummersbach, Germany",Festanstellung
reply,junior AI/Cloud Engineer,2026-05-06,Rejected,"Ismaning, Germany",Festanstellung
PropertyExpert GmbH,Softwareentwickler C#/. NET für nachhaltige Produktentwicklung mit KI,2026-05-06,Applied,"Langenfeld, Germany",Festanstellung
HOCHTIEF,Backend-Developer (m/w/d) Cloud & Fullstack,2026-05-06,Interviewing,"Essen, Germany",Festanstellung
Steadforce,Junior Softwareentwickler,2026-05-06,Rejected,"Munich, Germany",Festanstellung
EICKHOFF Personal GmbH,junior Softwareentwickler ,2026-05-06,Rejected,"Düsseldorf, Germany",Festanstellung
code compass,Web Developer,2026-05-06,Rejected,"Gurgaon, India",Festanstellung
synctive,Fullstack Developer ,2026-05-06,Rejected,"Bielefeld, Germany",Festanstellung
coconet,junior Softwareentwickler ,2026-05-06,Rejected,"Düsseldorf, Germany",Festanstellung
WeShareEnergy,Fullstack Developer ,2026-05-06,Applied,"Düsseldorf, Germany",Festanstellung
ProEco Rheinland GmbH & Co. KG,Fullstack Developer ,2026-05-06,Rejected,"Düsseldorf, Germany",Festanstellung
GROHE,Junior Cloud Developer,2026-05-06,Applied,"Düsseldorf, Germany",Festanstellung
